task_i,learn_time,before_time,test_time,before_check_time,check_time,stop_value,before_step,learn_step_N,after_step,before_check_step,check_step,raw_loss_val,before_loss_val,learn_loss_val,after_loss_val,raw_check_loss_val,before_check_loss_val,check_loss_val,raw-plannerADE1,raw-plannerFDE1,raw-plannerADE2,raw-plannerFDE2,raw-plannerADE3,raw-plannerFDE3,before-plannerADE1,before-plannerFDE1,before-plannerADE2,before-plannerFDE2,before-plannerADE3,before-plannerFDE3,cross-plannerADE1,cross-plannerFDE1,cross-plannerADE2,cross-plannerFDE2,cross-plannerADE3,cross-plannerFDE3,after-plannerADE1,after-plannerFDE1,after-plannerADE2,after-plannerFDE2,after-plannerADE3,after-plannerFDE3,raw_check-plannerADE1,raw_check-plannerFDE1,raw_check-plannerADE2,raw_check-plannerFDE2,raw_check-plannerADE3,raw_check-plannerFDE3,before_check-plannerADE1,before_check-plannerFDE1,before_check-plannerADE2,before_check-plannerFDE2,before_check-plannerADE3,before_check-plannerFDE3,check-plannerADE1,check-plannerFDE1,check-plannerADE2,check-plannerFDE2,check-plannerADE3,check-plannerFDE3
0,13.893201112747192,13.383312940597534,4.328808069229126,"[13.078548669815063, 13.308014154434204, 13.32970118522644, 11.448371648788452, 8.006567001342773, 7.852880477905273, 7.904466152191162, 7.851855754852295, 8.049850225448608, 7.8298773765563965]","[3.1403093338012695, 7.895933151245117, 1.5751330852508545, 8.002730369567871, 7.913372993469238, 7.933446645736694, 8.090307474136353, 7.932832956314087, 7.921968698501587, 8.01802110671997]",0.0008283701026812196,20,31,11,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[8, 20, 4, 20, 20, 20, 20, 20, 20, 20]",0.021272504702210426,0.0021807276643812656,0.0004483687225729227,0.0004418600001372397,"[0.007336065638810396, 0.008236146531999111, 0.008627133443951607, 0.00769173726439476, 0.010146192274987698, 0.0034565976820886135, 0.014279414899647236, 0.0031927491072565317, 0.00393043365329504, 0.006967797875404358]","[0.0033844267018139362, 0.0043775844387710094, 0.003641569521278143, 0.0037361294962465763, 0.0030671001877635717, 0.0055533163249492645, 0.0031152942683547735, 0.0035493874456733465, 0.00433303089812398, 0.0037074468564242125]","[0.0005071364575996995, 0.0019403175683692098, 0.00038003450026735663, 0.0016531550791114569, 0.0014433711767196655, 0.0031643633265048265, 0.0014755167067050934, 0.001626701676286757, 0.002126118866726756, 0.0017096655210480094]",0.024858253076672554,0.05034159868955612,0.1629544198513031,0.7057108283042908,1.520329475402832,8.374996185302734,0.12202105671167374,0.27847933769226074,0.5680921673774719,1.299026370048523,1.143241047859192,2.9271063804626465,0.09620174020528793,0.21965919435024261,0.49192920327186584,1.2743314504623413,1.258954405784607,3.89422869682312,0.09332916885614395,0.21206232905387878,0.4777339696884155,1.2551312446594238,1.2601323127746582,3.9670467376708984,0.024800349585711957,0.05019426420331001,0.15414246767759324,0.6684520959854126,1.4721670269966125,8.125821208953857,0.1123689629137516,0.2490691587328911,0.4655456364154816,1.104372650384903,1.1397477507591247,3.6066653728485107,0.1026382502168417,0.22895702272653579,0.4343719184398651,1.0461201608180999,1.0916528940200805,3.4340874671936037
1,19.624517917633057,8.011537313461304,1.5486621856689453,"[7.918623208999634, 7.897379398345947, 7.954820871353149, 7.97678279876709, 7.920536518096924, 7.8735387325286865, 7.895261764526367, 7.847776889801025, 8.164606809616089, 7.9798243045806885]","[2.326571226119995, 0.3861513137817383, 0.38798952102661133, 7.883496522903442, 0.40558385848999023, 7.998331785202026, 7.840954542160034, 0.39398908615112305, 0.3915903568267822, 8.080405950546265]",0.005074935499578714,20,44,4,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[6, 1, 1, 20, 1, 20, 20, 1, 1, 20]",0.008180155418813229,0.054019466042518616,0.003984143957495689,0.00398546177893877,"[0.00629187747836113, 0.0027363335248082876, 0.005262403283268213, 0.006599279120564461, 0.004132024943828583, 0.006798640824854374, 0.006295422557741404, 0.0036578045692294836, 0.004816404543817043, 0.004335225094109774]","[0.05761730670928955, 0.045039594173431396, 0.0649423822760582, 0.06740240752696991, 0.0534619465470314, 0.0725487545132637, 0.07268191128969193, 0.03971165418624878, 0.04996274411678314, 0.06683334708213806]","[0.004905564244836569, 0.0026409816928207874, 0.004464604426175356, 0.013701597228646278, 0.004316419363021851, 0.012036755681037903, 0.009290192276239395, 0.0032339897006750107, 0.0037849724758416414, 0.017209196463227272]",0.0562097504734993,0.11713604629039764,0.2018825113773346,0.6510128378868103,1.3665733337402344,7.227038383483887,0.40404465794563293,0.842573344707489,0.988318920135498,1.5172994136810303,1.6453676223754883,4.549084663391113,0.19644677639007568,0.4180893898010254,0.5172337293624878,0.9220582842826843,1.3486804962158203,5.2461981773376465,0.1959351897239685,0.41719865798950195,0.5168100595474243,0.9208682775497437,1.3488962650299072,5.249838829040527,0.05620690286159515,0.11721777021884919,0.21052706390619277,0.6903498411178589,1.5197279453277588,8.19664740562439,0.4036228597164154,0.8422989547252655,1.0018007159233093,1.5930487394332886,1.6873504161834716,4.97089467048645,0.21042205914855003,0.44212467670440675,0.5163936406373978,0.9423581600189209,1.450060486793518,5.87613468170166
2,222.67492842674255,7.914031267166138,8.002891302108765,"[8.024702548980713, 7.976997375488281, 7.930795431137085, 7.98963475227356, 7.896236181259155, 7.8988354206085205, 7.968266010284424, 8.147435426712036, 8.105148792266846, 8.341163873672485]","[7.8794286251068115, 7.939336061477661, 0.40107131004333496, 8.154646396636963, 0.39795899391174316, 7.9494757652282715, 7.941822528839111, 7.8426594734191895, 7.7682600021362305, 7.793402194976807]",0.004074567928910255,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 1, 20, 1, 20, 20, 20, 20, 20]",0.005418458953499794,0.008269242011010647,0.007207770831882954,0.007231913041323423,"[0.0016730751376599073, 0.0019288095645606518, 0.0016742963343858719, 0.0016168305883184075, 0.0017065671272575855, 0.002612564479932189, 0.003034992842003703, 0.0013719298876821995, 0.004720750730484724, 0.0016523259691894054]","[0.007433261256664991, 0.008538603782653809, 0.007623963989317417, 0.007361358497291803, 0.007183069363236427, 0.007907029241323471, 0.007118019741028547, 0.008160889148712158, 0.007161582354456186, 0.008343206718564034]","[0.006401431746780872, 0.007695490960031748, 0.0014467217260971665, 0.005941278766840696, 0.0013748506316915154, 0.007193161174654961, 0.006190998945385218, 0.00717534776777029, 0.005940982606261969, 0.007726646028459072]",0.0814727172255516,0.1690496802330017,0.2982553243637085,0.8654696941375732,1.7529743909835815,9.167131423950195,0.2972109317779541,0.6314811110496521,1.0015416145324707,2.1738033294677734,2.046349287033081,5.188696384429932,0.28687405586242676,0.6027612090110779,0.8905643820762634,1.8271422386169434,1.7360649108886719,4.412320137023926,0.2862975299358368,0.601336658000946,0.8871321082115173,1.8190497159957886,1.7331726551055908,4.421215534210205,0.0814248874783516,0.16893410831689834,0.2815075099468231,0.7760858476161957,1.6021472573280335,8.36462197303772,0.30296297967433927,0.6416352331638336,0.916320937871933,1.8204025626182556,1.7042231202125548,4.096725988388061,0.2574927404522896,0.539452911913395,0.7186821639537812,1.379197645187378,1.451724123954773,4.160118627548218
3,25.54743456840515,7.778574228286743,6.257725238800049,"[7.726158618927002, 8.106549978256226, 1.1612744331359863, 7.719921588897705, 7.742155075073242, 7.773244380950928, 1.993098258972168, 1.6058974266052246, 7.972641944885254, 1.1829915046691895]","[3.5031063556671143, 1.560417652130127, 1.1708028316497803, 1.960472583770752, 1.9638831615447998, 6.288974285125732, 1.1854522228240967, 1.5686912536621094, 4.379637241363525, 0.7804281711578369]",0.0005736091989092529,20,58,16,"[20, 20, 3, 20, 20, 20, 5, 4, 20, 3]","[9, 4, 3, 5, 5, 16, 3, 4, 11, 2]",0.004539264366030693,0.0017943913117051125,0.00044812081614509225,0.0004412645357660949,"[0.0023165568709373474, 0.004216836765408516, 0.0021293675526976585, 0.002721575088799, 0.001490138005465269, 0.003324564080685377, 0.000850098964292556, 0.002943150233477354, 0.002593210432678461, 0.0012197098694741726]","[0.0008796383626759052, 0.0006755193462595344, 0.00039434494101442397, 0.0009184594382531941, 0.0012413368094712496, 0.0007564979023300111, 0.0004046889371238649, 0.00043000519508495927, 0.0012374087236821651, 0.0004441564960870892]","[0.0004106162232346833, 0.000392520654713735, 0.0003412350488360971, 0.0003618866903707385, 0.0004377362201921642, 0.0004076496115885675, 0.000365123909432441, 0.00039657900924794376, 0.00044289478682912886, 0.0003567826352082193]",0.024136336520314217,0.05118254944682121,0.14477473497390747,0.6338837146759033,1.4359053373336792,7.970669746398926,0.14103363454341888,0.3138844668865204,0.5616376996040344,1.2629824876785278,1.186313509941101,3.3106849193573,0.12183299660682678,0.27299964427948,0.5107623338699341,1.1938753128051758,1.1592602729797363,3.2630536556243896,0.11969918012619019,0.2680017650127411,0.5024369955062866,1.1761929988861084,1.153089165687561,3.3214759826660156,0.024347104877233506,0.0517302144318819,0.14664642363786698,0.6323335826396942,1.3989875674247743,7.7246620655059814,0.10907878503203391,0.2449775218963623,0.4460370123386383,1.0245915055274963,1.1004523158073425,3.6629151344299316,0.07607322260737419,0.17019661292433738,0.3220785051584244,0.8233697891235352,1.0576455056667329,4.158746933937072
4,9.254746437072754,8.074343919754028,0.3961958885192871,"[7.876600027084351, 7.935898780822754, 7.828592777252197, 7.813192129135132, 7.801628589630127, 7.807508230209351, 7.83992600440979, 7.817380666732788, 7.819695711135864, 7.894577980041504]","[0.3966238498687744, 0.4154014587402344, 0.45502233505249023, 0.4079599380493164, 0.4037959575653076, 0.39115333557128906, 0.39447951316833496, 0.3946518898010254, 0.39130640029907227, 0.3944249153137207]",0.00859307311475277,20,21,1,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.01108512468636036,0.19045889377593994,0.008217981085181236,0.008217981085181236,"[0.0036877933889627457, 0.003901822492480278, 0.003934354521334171, 0.0015944489277899265, 0.0011677119182422757, 0.002480677794665098, 0.004452856723219156, 0.0022295983508229256, 0.006213023792952299, 0.006677369587123394]","[0.23884738981723785, 0.2586892247200012, 0.2562882602214813, 0.22882288694381714, 0.19337451457977295, 0.2369309961795807, 0.21779164671897888, 0.23703201115131378, 0.3155786395072937, 0.22725053131580353]","[0.00532048474997282, 0.0039339009672403336, 0.0019742813892662525, 0.009798993356525898, 0.0048844642005860806, 0.00502284849062562, 0.003648540936410427, 0.0036866352893412113, 0.007070152088999748, 0.006971424911171198]",0.07049758732318878,0.1463012397289276,0.26088136434555054,0.8093664050102234,1.709254503250122,9.095497131347656,0.8815041780471802,1.7754970788955688,1.57545006275177,2.244932174682617,2.5655505657196045,6.974017143249512,0.12823422253131866,0.2587299942970276,0.378307968378067,0.9493356347084045,1.6636558771133423,8.263745307922363,0.12823422253131866,0.2587299942970276,0.378307968378067,0.9493356347084045,1.6636558771133423,8.263745307922363,0.07083536311984062,0.14754284024238587,0.2520611330866814,0.7334864616394043,1.5201980471611023,7.999297761917115,0.9514131247997284,1.8889358401298524,1.5145427584648132,2.0276305079460144,2.1371594429016114,4.717206287384033,0.13695526868104935,0.2752760171890259,0.37282648384571077,0.8846759021282196,1.441277766227722,6.852654123306275
5,10.56559443473816,7.85513710975647,1.5931358337402344,"[7.881507158279419, 7.8608903884887695, 7.825108289718628, 7.997442007064819, 8.05729079246521, 7.818908452987671, 7.843913316726685, 0.4348104000091553, 0.4296407699584961, 7.954257011413574]","[7.970922231674194, 1.2088730335235596, 7.883869886398315, 7.858001470565796, 7.801306962966919, 7.950383424758911, 7.915948867797852, 0.39174962043762207, 0.3933837413787842, 7.9211156368255615]",0.0016870973631739616,20,24,4,"[20, 20, 20, 20, 20, 20, 20, 1, 1, 20]","[20, 3, 20, 20, 20, 20, 20, 1, 1, 20]",0.004495653323829174,0.00413239561021328,0.0008888989686965942,0.0008654094999656081,"[0.001370173180475831, 0.0013793950201943517, 0.002264847280457616, 0.0022580157965421677, 0.0014800922945141792, 0.002215123036876321, 0.0030238379258662462, 0.0007694202940911055, 0.001421877765096724, 0.0024803155101835728]","[0.004635280929505825, 0.0036779670044779778, 0.004152072127908468, 0.003455179976299405, 0.004079555626958609, 0.005602872930467129, 0.0031933968421071768, 0.0005795449251309037, 0.00029734347481280565, 0.0036795195192098618]","[0.0032099520321935415, 0.001018601469695568, 0.003987509291619062, 0.0029404140077531338, 0.003102656453847885, 0.00532819889485836, 0.0021472875960171223, 0.0004113514441996813, 0.00041124154813587666, 0.002199824433773756]",0.06406018137931824,0.14052735269069672,0.23212209343910217,0.733707070350647,1.6314314603805542,8.756269454956055,0.3438708782196045,0.7634024024009705,1.1397571563720703,2.168686628341675,2.063476324081421,5.052351951599121,0.1886453777551651,0.4073309898376465,0.6459966897964478,1.4066394567489624,1.6070901155471802,5.660411357879639,0.18861298263072968,0.40727686882019043,0.6444845795631409,1.402336597442627,1.605779767036438,5.667834281921387,0.06393852978944778,0.1398160770535469,0.21524164825677872,0.6569694817066193,1.4591984033584595,7.822772073745727,0.3045170918107033,0.6790624633431435,1.0020709574222564,1.8287195980548858,1.7431580781936646,4.453036451339722,0.2625907644629478,0.5849475800991059,0.8954689413309097,1.7056775629520415,1.6521322131156921,4.546991968154908
6,14.005544662475586,7.7944512367248535,3.928358793258667,"[2.3758316040039062, 7.894101619720459, 0.806056022644043, 7.894270658493042, 2.352259397506714, 1.9559905529022217, 7.781766891479492, 4.670325994491577, 2.3387863636016846, 1.9441845417022705]","[1.9446847438812256, 2.3220572471618652, 0.7771780490875244, 5.482891321182251, 1.9539945125579834, 1.9663598537445068, 3.163780927658081, 3.2402868270874023, 2.0063672065734863, 1.6175522804260254]",0.000379429868189618,20,32,10,"[6, 20, 2, 20, 6, 5, 20, 12, 6, 5]","[5, 6, 2, 14, 5, 5, 8, 8, 5, 4]",0.010134276002645493,0.0004716493422165513,0.00029978863312862813,0.0002992501249536872,"[0.001169566996395588, 0.0037793247029185295, 0.000732643820811063, 0.001508631044998765, 0.0019673374481499195, 0.00115104706492275, 0.0008013486512936652, 0.0007646451704204082, 0.0013811083044856787, 0.0006115244468674064]","[0.0002789465943351388, 0.00043268909212201834, 0.0002497459063306451, 0.0004643840657081455, 0.0002893710625357926, 0.00024279733770526946, 0.0003701052046380937, 0.00028664543060585856, 0.0002535888343118131, 0.00021209815167821944]","[0.0002268305979669094, 0.00027867144672200084, 0.00024513245443813503, 0.00029498664662241936, 0.00029830081621184945, 0.00022904803336132318, 0.00029997312230989337, 0.0002979037235490978, 0.0002814388426486403, 0.00024058495182543993]",0.04031028226017952,0.08526979386806488,0.20265918970108032,0.7595213651657104,1.6345947980880737,8.90555191040039,0.1631758213043213,0.36072811484336853,0.6025355458259583,1.326171636581421,1.2810604572296143,3.3205642700195312,0.14725694060325623,0.32560470700263977,0.5417739152908325,1.2015142440795898,1.2256896495819092,3.49428653717041,0.14072737097740173,0.31084367632865906,0.5173695087432861,1.1546391248703003,1.2175014019012451,3.654287338256836,0.040278999134898186,0.08494116142392158,0.19428909718990325,0.7170380532741547,1.510959553718567,8.14835066795349,0.12525881752371787,0.27406342774629594,0.4530210345983505,1.0134928047657012,1.1541048109531402,3.875348687171936,0.11261883974075318,0.24660585522651673,0.4143517345190048,0.9419950127601624,1.1244248032569886,4.036450123786926
7,221.84651827812195,7.918790102005005,8.119311809539795,"[7.956546783447266, 7.798834562301636, 7.774311065673828, 7.84204626083374, 7.806368827819824, 7.909682989120483, 7.9098217487335205, 7.834059953689575, 7.833940267562866, 7.851275444030762]","[8.125173330307007, 8.30651569366455, 8.14708662033081, 0.3950939178466797, 8.38932991027832, 8.521830558776855, 8.079282283782959, 8.236876010894775, 8.3999183177948, 8.787637710571289]",0.006529561243951321,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 1, 20, 20, 20, 20, 20, 20]",0.006468814332038164,0.01639172062277794,0.02162872813642025,0.021752582862973213,"[0.003297823714092374, 0.003741807071492076, 0.002692398615181446, 0.0009148104581981897, 0.0018653178121894598, 0.0020827522967010736, 0.005311466753482819, 0.005143911112099886, 0.00468176044523716, 0.0032564878929406404]","[0.017085887491703033, 0.013292803429067135, 0.022591641172766685, 0.014819076284766197, 0.018568972125649452, 0.019981928169727325, 0.017352258786559105, 0.01793259009718895, 0.0136161083355546, 0.02500906214118004]","[0.021044235676527023, 0.025487713515758514, 0.024220310151576996, 0.0015040677972137928, 0.020945869386196136, 0.02726098522543907, 0.020620297640562057, 0.021624069660902023, 0.01703741028904915, 0.0319356732070446]",0.056988511234521866,0.12291564047336578,0.2359350323677063,0.7775134444236755,1.672690749168396,8.934595108032227,0.35393083095550537,0.773306131362915,1.1243242025375366,2.1169650554656982,1.8921488523483276,4.003876686096191,0.3358411192893982,0.7031235694885254,0.8046382069587708,1.31695556640625,1.7367432117462158,5.965930938720703,0.336476594209671,0.703991174697876,0.7995312213897705,1.2959059476852417,1.7318134307861328,5.9989166259765625,0.056776462122797966,0.12218493893742562,0.21889877021312715,0.6950339019298554,1.4820582509040832,7.934135770797729,0.34884658753871917,0.7531278133392334,1.0092758357524871,1.7169832229614257,1.6126234531402588,3.569578242301941,0.30621331706643107,0.6448086768388748,0.7398514479398728,1.137758231163025,1.5428938269615173,5.355905342102051
8,222.15143871307373,8.36724591255188,8.1818528175354,"[8.130558013916016, 1.9609005451202393, 7.912771701812744, 7.954800844192505, 8.12975788116455, 7.934403419494629, 7.904461860656738, 7.9803783893585205, 7.983488082885742, 1.1903321743011475]","[8.371041774749756, 8.497202634811401, 8.412140130996704, 1.6329514980316162, 7.909036159515381, 7.9788994789123535, 7.877122163772583, 8.037864923477173, 7.8791184425354, 2.360102415084839]",0.0003720665699802339,20,500,20,"[20, 5, 20, 20, 20, 20, 20, 20, 20, 3]","[20, 20, 20, 4, 20, 20, 20, 20, 20, 6]",0.006865601986646652,0.0006742144469171762,0.0008546288590878248,0.0008556083776056767,"[0.0036506359465420246, 0.0016514889430254698, 0.0023079263046383858, 0.00205429270863533, 0.00421068724244833, 0.00232497020624578, 0.0034709421452134848, 0.0019523814553394914, 0.0045776073820889, 0.0026154033839702606]","[0.0010467409156262875, 0.00027416643570177257, 0.00340794725343585, 0.0015711067244410515, 0.0015937993302941322, 0.0018277635099366307, 0.0017568017356097698, 0.002660746220499277, 0.0010571680031716824, 0.00022606235870625824]","[0.0011790139833465219, 0.0005765486275777221, 0.000613067764788866, 0.00020570277411025017, 0.0006052192766219378, 0.0008986410684883595, 0.00045239762403070927, 0.0012624599039554596, 0.0007301525911316276, 0.0002951438364107162]",0.028270302340388298,0.059663236141204834,0.15947595238685608,0.657747745513916,1.445861577987671,7.944180965423584,0.1822632998228073,0.40113794803619385,0.6239511370658875,1.270720362663269,1.2087547779083252,3.0648791790008545,0.14118994772434235,0.2974945902824402,0.3561081886291504,0.7221319079399109,1.1483205556869507,4.516916275024414,0.1402672529220581,0.29579922556877136,0.3542563021183014,0.7147442698478699,1.1476564407348633,4.539546489715576,0.02814098745584488,0.05895562283694744,0.15731405168771745,0.6535390079021454,1.4397793889045716,7.919264316558838,0.163055919110775,0.35809985995292665,0.5729567557573318,1.2041938304901123,1.220937466621399,3.462095522880554,0.13312731608748435,0.28180699795484543,0.3421211302280426,0.7001851618289947,1.140568870306015,4.54191746711731
9,22.695157289505005,7.916254997253418,4.298110723495483,"[8.039441108703613, 0.39522838592529297, 7.9938061237335205, 0.38829874992370605, 7.791247129440308, 7.789353132247925, 7.879875659942627, 7.783509016036987, 0.38740086555480957, 7.811296224594116]","[0.7739865779876709, 0.38480663299560547, 1.5480639934539795, 0.38661623001098633, 1.1583549976348877, 0.7717599868774414, 1.1595685482025146, 0.7736353874206543, 0.4243612289428711, 0.8253822326660156]",0.0014077976811677217,20,52,11,"[20, 1, 20, 1, 20, 20, 20, 20, 1, 20]","[2, 1, 4, 1, 3, 2, 3, 2, 1, 2]",0.0030497515108436346,0.004154312890022993,0.000880539242643863,0.0009042579331435263,"[0.0019395913695916533, 0.0006057381397113204, 0.0007218494429253042, 0.0002995294635184109, 0.0017488915473222733, 0.0012708203867077827, 0.0025589466094970703, 0.001312376232817769, 0.0007283464656211436, 0.0014550710329785943]","[0.003597912611439824, 0.0008024029666557908, 0.002912229159846902, 0.000497550587169826, 0.003758314298465848, 0.003551880829036236, 0.002747059566900134, 0.00337721174582839, 0.0006054361001588404, 0.003288607345893979]","[0.0007930377032607794, 0.0004591659817378968, 0.0009088218794204295, 0.0002447687438689172, 0.0009080650052055717, 0.0007857844466343522, 0.000758407055400312, 0.0006497501162812114, 0.0005327957915142179, 0.0007232926436699927]",0.0379849448800087,0.08237612247467041,0.1769123524427414,0.6652456521987915,1.4447379112243652,7.902996063232422,0.13738135993480682,0.30739259719848633,0.5294774174690247,1.1476942300796509,1.2851921319961548,4.238370418548584,0.11950147151947021,0.26776301860809326,0.4699037969112396,1.054161548614502,1.1519496440887451,3.6822147369384766,0.11669687181711197,0.2614935636520386,0.45894235372543335,1.0351024866104126,1.1465656757354736,3.7327802181243896,0.037923165038228034,0.08199701458215714,0.17326353043317794,0.6743721842765809,1.4863725066184998,8.13649754524231,0.1172178253531456,0.2659669294953346,0.4749193489551544,1.0674700915813446,1.292971384525299,4.709328770637512,0.0581656664609909,0.12867383137345315,0.2488536551594734,0.7276328146457672,1.240915262699127,5.986037540435791
10,10.508740901947021,7.755342960357666,1.948943853378296,"[7.739547967910767, 8.245437145233154, 8.215308666229248, 7.782656192779541, 7.782219886779785, 7.819427490234375, 7.911476373672485, 7.8389365673065186, 7.772825479507446, 7.750339984893799]","[7.88096022605896, 0.39296913146972656, 1.9549577236175537, 1.9807727336883545, 0.3900928497314453, 1.1635668277740479, 0.7722852230072021, 0.39153409004211426, 1.1680777072906494, 0.38584208488464355]",0.002209783298894763,20,24,5,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 1, 5, 5, 1, 3, 2, 1, 3, 1]",0.007895547896623611,0.029183445498347282,0.002621304476633668,0.0013728381600230932,"[0.005819561891257763, 0.0023436634801328182, 0.004521593451499939, 0.00479159876704216, 0.0035667328629642725, 0.00541179534047842, 0.0019823750481009483, 0.0017188969068229198, 0.00296912994235754, 0.000990373780950904]","[0.012576170265674591, 0.009773517958819866, 0.007595219649374485, 0.014096750877797604, 0.010757183656096458, 0.016246255487203598, 0.01141335815191269, 0.010459625162184238, 0.01983795315027237, 0.03468189015984535]","[0.0028577405028045177, 0.0015570695977658033, 0.00247728219255805, 0.0024285775143653154, 0.0024753815960139036, 0.0024448721669614315, 0.00248060398735106, 0.0016594163607805967, 0.0022981963120400906, 0.0012907915515825152]",0.05461510270833969,0.12447204440832138,0.2194599211215973,0.7274245023727417,1.5199776887893677,8.06042194366455,0.2733091711997986,0.5806312561035156,0.7534305453300476,1.3695106506347656,1.4311600923538208,4.4513773918151855,0.13395333290100098,0.2903505563735962,0.3861784338951111,0.8055302500724792,1.2077844142913818,5.098010063171387,0.1527586132287979,0.32950612902641296,0.4290943741798401,0.859782338142395,1.2136991024017334,4.8540496826171875,0.05472072996199131,0.12473351433873177,0.20928729325532913,0.6738940954208374,1.4554576873779297,7.79095344543457,0.2742468863725662,0.5874940037727356,0.7808112740516663,1.4174771666526795,1.4517467141151428,4.319183945655823,0.11396972015500069,0.24927377551794053,0.3540256261825562,0.7983899295330048,1.2690513491630555,5.698075151443481
